pop1,pop2,cross_name,count_diffs,count_comparisons,sum_comp
pa1_pool,pa2_pool,am1,2258,1592032,0.001418313
pa7_pool,pa8_pool,am10,3800,1557112,0.002440415
pa3_pool,pa7_pool,am11,3982,1573380,0.002530857
pa5_pool,pa9_pool,am12,3772,1600884,0.002356198
pa2_pool,pa8_pool,am13,2296,1624924,0.001412989
pa3_pool,pa8_pool,am14,2214,1634108,0.001354868
pa5_pool,pa8_pool,am15,2050,1603916,0.001278122
pa1_pool,pa3_pool,am2,2208,1599164,0.001380721
pa4_pool,pa5_pool,am3,2172,1612124,0.001347291
pa2_pool,pa6_pool,am4,2128,1620476,0.001313194
pa4_pool,pa9_pool,am5,4136,1622992,0.00254838
pa7_pool,pa9_pool,am6,1692,1558844,0.00108542
pa8_pool,pa9_pool,am7,3970,1611048,0.002464234
pa3_pool,pa6_pool,am8,2100,1629564,0.001288688
pa10_pool,pa7_pool,am9,3398,1569372,0.002165197
pw1_pool,pw2_pool,wi1,702,1570928,0.00044687
pw1_pool,pw3_pool,wi2,812,1597904,0.000508166
pw4_pool,pw5_pool,wi3,1054,1608052,0.000655451
pw4_pool,pw7_pool,wi5,904,1630576,0.000554405
pw10_pool,pw8b_pool,wi5,828,979268,0.00084553
pw8b_pool,pw9_pool,wi9,1368,1601892,0.00085399
