,am10,am11,am12,am13,am14,am15,am1,am2,am3,am4,am5,am6,am7,am8,am9,pa10,pa1,pa2,pa3,pa4,pa5,pa6,pa7,pa8,pa9,pw10,pw11,pw1,pw2,pw3,pw4B,pw5,pw6,pw7,pw8B,pw9,wi1,wi2,wi4,wi7,wi8,wi9
am10,1.61141,0.214523,-0.134727,0.210706,0.127287,0.112393,-0.199189,-0.203441,-0.253437,-0.300562,0.0211869,0.557632,0.309706,-0.289758,0.249233,-0.179956,-0.16699,-0.284505,-0.300018,-0.190568,-0.278928,-0.293527,0.92237,0.569199,0.0923061,-0.30176,-0.287793,-0.260692,-0.291395,-0.31341,0.113499,0.0636295,0.140516,0.085626,-0.262646,-0.319553,-0.312015,-0.310391,0.0929688,0.0979461,-0.251879,-0.287074
am11,0.214523,1.42886,-0.00223223,-0.276333,-0.121114,-0.303537,-0.3036,-0.0458142,-0.331799,-0.234375,-0.0890206,0.636029,0.00170609,-0.146274,0.28781,-0.242454,-0.279627,-0.242598,0.156339,-0.297157,-0.268957,-0.25073,1.16076,-0.297198,0.139491,-0.347147,-0.183087,1.56E-05,-0.0248311,-0.00777159,0.129002,0.12705,0.150432,0.124172,-0.226882,-0.211806,-0.00709091,-0.042762,0.122837,0.128343,-0.298317,-0.244741
am12,-0.134727,-0.00223223,1.12301,-0.297288,-0.301938,0.125682,-0.289342,-0.299985,0.0860044,-0.238156,0.194515,0.376189,0.210949,-0.21368,-0.0153829,-0.182142,-0.236467,-0.290714,-0.337543,-0.265309,0.519801,-0.174413,0.162609,-0.259002,0.66887,-0.272865,-0.227701,-0.298084,-0.284391,-0.252611,0.37841,0.60432,0.245549,0.341775,-0.215225,-0.20725,-0.315669,-0.320201,0.381057,0.422312,-0.228865,-0.227302
am13,0.210706,-0.276333,-0.297288,1.28127,0.408964,0.45325,0.532079,0.107021,0.0194725,0.259507,-0.240082,-0.635173,0.169347,0.0612111,-0.24004,0.0317198,0.109902,0.8164,0.062223,0.0392729,0.015739,-0.00675545,-0.612916,0.854175,-0.621751,0.125146,0.0127178,0.096461,0.0916085,0.0798748,-0.605275,-0.598438,-0.635918,-0.605962,0.0990329,0.0824318,0.103888,0.0543244,-0.618629,-0.617305,0.118503,0.10097
am14,0.127287,-0.121114,-0.301938,0.408964,1.00906,0.409931,0.146144,0.371575,0.0105096,0.0215682,-0.299578,-0.631116,0.0369505,0.115384,-0.225757,0.100986,0.142564,0.0948626,0.507835,0.0872018,0.0567194,-0.00304827,-0.634525,0.808333,-0.65567,0.0742612,0.0560515,0.32027,0.308744,0.2726,-0.621667,-0.612876,-0.646273,-0.629235,0.0846919,0.0848925,0.310042,0.271583,-0.620983,-0.595141,0.100462,0.0938828
am15,0.112393,-0.303537,0.125682,0.45325,0.409931,1.22361,0.0812429,0.083238,0.369183,0.0604718,-0.273431,-0.633936,0.0572693,0.13493,-0.213371,0.123126,0.143694,0.0176917,0.0383272,0.0672329,0.758548,0.0842983,-0.622496,0.785546,-0.631495,0.12429,0.139433,0.0617886,0.0521733,0.0655705,-0.644912,-0.58764,-0.636933,-0.647734,0.116431,0.161677,0.0850911,0.0646667,-0.640422,-0.620459,0.122926,0.121528
am1,-0.199189,-0.3036,-0.289342,0.532079,0.146144,0.0812429,1.46413,0.399959,0.0716296,0.382775,-0.228356,-0.631719,-0.206488,0.045789,-0.220178,0.0912496,1.00255,0.92464,0.0750457,0.0491616,0.0444085,0.0663764,-0.648084,0.164711,-0.592977,0.199194,0.079565,0.0967032,0.0690029,0.0756621,-0.582395,-0.579239,-0.59808,-0.57229,0.0516252,0.114553,0.0988931,0.0475686,-0.578099,-0.602971,0.125443,0.10208
am2,-0.203441,-0.0458142,-0.299985,0.107021,0.371575,0.083238,0.399959,1.02855,0.0317549,0.0806923,-0.306914,-0.604862,-0.260244,0.211863,-0.208823,0.0903969,0.690689,0.115992,0.633231,0.0406603,0.0831129,0.0240352,-0.6052,0.111366,-0.658856,0.0916767,0.0942648,0.412355,0.352343,0.339419,-0.609968,-0.616145,-0.62075,-0.625382,0.133897,0.19701,0.381539,0.381853,-0.604441,-0.615486,0.124059,0.158675
am3,-0.253437,-0.331799,0.0860044,0.0194725,0.0105096,0.369183,0.0716296,0.0317549,1.60562,0.136859,0.236109,-0.568177,-0.312002,0.105573,-0.17433,0.168079,0.100119,0.0317609,0.0294171,1.09673,0.792262,0.181716,-0.5676,0.059663,-0.555575,0.120178,0.104997,0.0351182,0.00260395,0.046008,-0.583476,-0.54134,-0.571519,-0.600032,0.132313,0.0880047,0.00468929,0.0135503,-0.598893,-0.56247,0.151739,0.0971739
am4,-0.300562,-0.234375,-0.238156,0.259507,0.0215682,0.0604718,0.382775,0.0806923,0.136859,1.3504,-0.241315,-0.5906,-0.320396,0.695872,-0.140408,0.0971918,0.171743,0.595114,0.101276,0.10818,0.12854,1.05126,-0.583986,0.00386264,-0.608841,0.188584,0.227926,0.106393,0.0957197,0.115357,-0.577376,-0.575228,-0.614002,-0.589714,0.16176,0.196384,0.130613,0.0908775,-0.579599,-0.589743,0.17949,0.155194
